1928ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/
3389ms INFO  crawler.Contributor - Searching for the word Computer...
3390ms INFO  crawler.Contributor - Used 9 times
3390ms INFO  crawler.Contributor - Searching for the word Center...
3391ms INFO  crawler.Contributor - Used 4 times
3391ms INFO  crawler.Contributor - Searching for the word Science...
3392ms INFO  crawler.Contributor - Used 11 times
3438ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/team/
3438ms INFO  crawler.Contributor - Found 37 links
3439ms INFO  crawler.Contributor - Searching for the word Computer...
3439ms INFO  crawler.Contributor - Used 1 times
3439ms INFO  crawler.Contributor - Searching for the word Center...
3439ms INFO  crawler.Contributor - Used 1 times
3439ms INFO  crawler.Contributor - Searching for the word Science...
3439ms INFO  crawler.Contributor - Used 1 times
3484ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/teachers/
3484ms INFO  crawler.Contributor - Found 36 links
3484ms INFO  crawler.Contributor - Searching for the word Computer...
3484ms INFO  crawler.Contributor - Used 1 times
3484ms INFO  crawler.Contributor - Searching for the word Center...
3485ms INFO  crawler.Contributor - Used 1 times
3485ms INFO  crawler.Contributor - Searching for the word Science...
3485ms INFO  crawler.Contributor - Used 1 times
3539ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/alumni/
3539ms INFO  crawler.Contributor - Found 36 links
3539ms INFO  crawler.Contributor - Searching for the word Computer...
3539ms INFO  crawler.Contributor - Used 1 times
3539ms INFO  crawler.Contributor - Searching for the word Center...
3539ms INFO  crawler.Contributor - Used 1 times
3539ms INFO  crawler.Contributor - Searching for the word Science...
3540ms INFO  crawler.Contributor - Used 1 times
3595ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/testimonials/
3595ms INFO  crawler.Contributor - Found 36 links
3595ms INFO  crawler.Contributor - Searching for the word Computer...
3595ms INFO  crawler.Contributor - Used 1 times
3595ms INFO  crawler.Contributor - Searching for the word Center...
3595ms INFO  crawler.Contributor - Used 1 times
3596ms INFO  crawler.Contributor - Searching for the word Science...
3596ms INFO  crawler.Contributor - Used 1 times
3724ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/syllabus/on-campus/se/
3725ms INFO  crawler.Contributor - Found 50 links
3726ms INFO  crawler.Contributor - Searching for the word Computer...
3726ms INFO  crawler.Contributor - Used 3 times
3727ms INFO  crawler.Contributor - Searching for the word Center...
3727ms INFO  crawler.Contributor - Used 2 times
3727ms INFO  crawler.Contributor - Searching for the word Science...
3728ms INFO  crawler.Contributor - Used 4 times
3802ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/syllabus/on-campus/ds/
3802ms INFO  crawler.Contributor - Found 46 links
3803ms INFO  crawler.Contributor - Searching for the word Computer...
3803ms INFO  crawler.Contributor - Used 2 times
3803ms INFO  crawler.Contributor - Searching for the word Center...
3803ms INFO  crawler.Contributor - Used 1 times
3803ms INFO  crawler.Contributor - Searching for the word Science...
3804ms INFO  crawler.Contributor - Used 4 times
3879ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/syllabus/on-campus/cs/
3880ms INFO  crawler.Contributor - Found 42 links
3880ms INFO  crawler.Contributor - Searching for the word Computer...
3881ms INFO  crawler.Contributor - Used 4 times
3881ms INFO  crawler.Contributor - Searching for the word Center...
3882ms INFO  crawler.Contributor - Used 1 times
3882ms INFO  crawler.Contributor - Searching for the word Science...
3882ms INFO  crawler.Contributor - Used 4 times
5666ms INFO  crawler.Contributor - Visiting.. Received web page at https://jetbrains.ru/students
5667ms INFO  crawler.Contributor - Found 42 links
5667ms INFO  crawler.Contributor - Searching for the word Computer...
5668ms INFO  crawler.Contributor - Used 3 times
5668ms INFO  crawler.Contributor - Searching for the word Center...
5668ms INFO  crawler.Contributor - Used 2 times
5668ms INFO  crawler.Contributor - Searching for the word Science...
5669ms INFO  crawler.Contributor - Used 3 times
5929ms INFO  crawler.Contributor - Visiting.. Received web page at https://yandexdataschool.ru/
5929ms INFO  crawler.Contributor - Found 42 links
5930ms INFO  crawler.Contributor - Searching for the word Computer...
5930ms INFO  crawler.Contributor - Used 3 times
5930ms INFO  crawler.Contributor - Searching for the word Center...
5930ms INFO  crawler.Contributor - Used 2 times
5930ms INFO  crawler.Contributor - Searching for the word Science...
5930ms INFO  crawler.Contributor - Used 4 times
6077ms INFO  crawler.Contributor - Visiting.. Received web page at http://239.ru/
6077ms INFO  crawler.Contributor - Found 102 links
6079ms INFO  crawler.Contributor - Searching for the word Computer...
6080ms INFO  crawler.Contributor - Used 0 times
6080ms INFO  crawler.Contributor - Searching for the word Center...
6080ms INFO  crawler.Contributor - Used 0 times
6080ms INFO  crawler.Contributor - Searching for the word Science...
6081ms INFO  crawler.Contributor - Used 0 times
6315ms INFO  crawler.Contributor - Visiting.. Received web page at https://compsciclub.ru/
6316ms INFO  crawler.Contributor - Found 19 links
6316ms INFO  crawler.Contributor - Searching for the word Computer...
6316ms INFO  crawler.Contributor - Used 3 times
6316ms INFO  crawler.Contributor - Searching for the word Center...
6316ms INFO  crawler.Contributor - Used 0 times
6316ms INFO  crawler.Contributor - Searching for the word Science...
6316ms INFO  crawler.Contributor - Used 3 times
6431ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/mse-itmo-admission-2020/
6432ms INFO  crawler.Contributor - Found 39 links
6432ms INFO  crawler.Contributor - Searching for the word Computer...
6432ms INFO  crawler.Contributor - Used 2 times
6432ms INFO  crawler.Contributor - Searching for the word Center...
6432ms INFO  crawler.Contributor - Used 2 times
6432ms INFO  crawler.Contributor - Searching for the word Science...
6432ms INFO  crawler.Contributor - Used 2 times
6755ms INFO  crawler.Contributor - Visiting.. Received web page at https://spb.hse.ru/ba/appmath
6755ms INFO  crawler.Contributor - Found 197 links
6758ms INFO  crawler.Contributor - Searching for the word Computer...
6762ms INFO  crawler.Contributor - Used 0 times
6762ms INFO  crawler.Contributor - Searching for the word Center...
6763ms INFO  crawler.Contributor - Used 0 times
6763ms INFO  crawler.Contributor - Searching for the word Science...
6765ms INFO  crawler.Contributor - Used 0 times
6825ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/hse-admission-2020/
6826ms INFO  crawler.Contributor - Found 39 links
6826ms INFO  crawler.Contributor - Searching for the word Computer...
6826ms INFO  crawler.Contributor - Used 2 times
6826ms INFO  crawler.Contributor - Searching for the word Center...
6827ms INFO  crawler.Contributor - Used 1 times
6827ms INFO  crawler.Contributor - Searching for the word Science...
6827ms INFO  crawler.Contributor - Used 2 times
6883ms INFO  crawler.Contributor - Visiting.. Received web page at https://compscicenter.ru/data-analysis-itmo-2020/
6883ms INFO  crawler.Contributor - Found 32 links
6884ms INFO  crawler.Contributor - Searching for the word Computer...
6884ms INFO  crawler.Contributor - Used 2 times
6884ms INFO  crawler.Contributor - Searching for the word Center...
6884ms INFO  crawler.Contributor - Used 2 times
6884ms INFO  crawler.Contributor - Searching for the word Science...
6884ms INFO  crawler.Contributor - Used 2 times
6888ms INFO  crawler.Disposer - Done! Visited 30 web page(s)
